,,,,"Summed S/N, Column Normalized, Scaled to 100 per Protein",,,,,,,,,,,"Summed S/N, Column Normalized",,,,,,,,,,,
P09917,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,20,10.4148,12.554,6.87773,9.57724,10.374,6.10993,10.7164,5.58916,8.4046,10.2128,9.16931,3328.42,4012.07,2198.02,3060.74,3315.38,1952.64,3424.78,1786.21,2685.98,3263.86,2930.37,
Q4V328,GRIPAP1,GRIP1-associated protein 1,20,8.3442,14.0029,6.43565,10.7815,11.0207,11.3449,7.48093,7.1494,8.06382,7.19064,8.18539,1890.05,3171.79,1457.74,2442.11,2496.31,2569.73,1694.51,1619.41,1826.54,1628.75,1854.07,
P40121,CAPG,Macrophage-capping protein,20,8.72503,8.75274,3.43089,10.7383,8.36275,5.72698,8.77377,9.55914,9.10258,12.1356,14.6922,4335.5,4349.26,1704.82,5335.9,4155.48,2845.76,4359.71,4749.97,4523.1,6030.24,7300.59,
P16284,PECAM1,Platelet endothelial cell adhesion molecule,20,9.24697,16.3079,8.22923,14.1872,14.2917,6.73498,6.68758,5.82705,5.68829,5.21745,7.5817,3500.98,6174.29,3115.65,5371.39,5410.95,2549.92,2531.97,2206.17,2153.63,1975.37,2870.49,
P45974-2,USP5,Isoform Short of Ubiquitin carboxyl-terminal hydrolase 5,20,9.98848,6.45983,12.5236,9.20345,8.70824,6.28268,9.96442,8.56361,8.63257,10.3603,9.31279,3729.81,2412.17,4676.47,3436.67,3251.75,2346.02,3720.83,3197.75,3223.5,3868.65,3477.5,
Q13200,PSMD2,26S proteasome non-ATPase regulatory subunit 2,20,10.8411,7.46409,9.26036,7.42964,7.83957,8.39889,8.86045,9.88715,9.67254,10.4308,9.91547,6621.81,4559.13,5656.31,4538.08,4788.48,5130.11,5412.04,6039.16,5908.07,6371.21,6056.45,
Q9H6S3,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,20,8.72716,14.0058,6.93779,9.84777,13.5382,8.32413,9.43166,8.56762,6.35971,6.15998,8.10022,3112.36,4994.88,2474.22,3512.01,4828.12,2968.63,3363.61,3055.47,2268.06,2196.83,2888.78,
Q96CW1,AP2M1,AP-2 complex subunit mu,20,11.9621,9.31274,7.81785,8.94566,9.02074,10.1425,8.51071,7.51162,8.8365,7.89319,10.0465,6595.9,5135.05,4310.77,4932.65,4974.04,5592.56,4692.81,4141.91,4872.45,4352.31,5539.63,
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit,20,10.907,9.24566,7.29562,8.84025,8.83919,9.33572,8.51774,8.51128,10.0604,9.10291,9.34415,5075.91,4302.74,3395.23,4114.07,4113.58,4344.65,3963.98,3960.97,4681.92,4236.31,4348.57,
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",20,12.2623,4.59756,6.91147,6.31499,6.71572,8.09409,10.9719,13.0896,11.2553,9.58909,10.1981,5121.62,1920.28,2886.73,2637.6,2804.98,3380.69,4582.66,5467.17,4701.04,4005.11,4259.46,
O75534-4,CSDE1,Isoform 4 of Cold shock domain-containing protein E1,20,8.25697,9.56091,7.43663,10.0084,9.38582,9.79812,8.95992,8.652,9.10252,7.94968,10.8891,3037.84,3517.58,2736.03,3682.2,3453.16,3604.85,3296.46,3183.18,3348.93,2924.79,4006.23,
Q13085-4,ACACA,Isoform 4 of Acetyl-CoA carboxylase 1,20,9.16797,14.0842,6.49057,10.0853,11.6463,5.5373,9.02271,6.90868,9.09313,5.02014,12.9437,3148.81,4837.31,2229.23,3463.87,4000.02,1901.83,3098.92,2372.84,3123.1,1724.2,4445.62,
P07203,GPX1,Glutathione peroxidase 1,20,9.93506,4.0155,11.1174,8.14031,7.53553,6.50197,8.88388,8.23298,10.0889,13.8273,11.7212,2510.3,1014.6,2809.06,2056.82,1904.01,1642.86,2244.7,2080.23,2549.16,3493.75,2961.61,
B5ME19,EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,20,8.29523,12.0064,6.74326,9.03624,9.36415,11.4783,7.82003,9.91016,8.30295,8.09762,8.94562,7541.44,10915.4,6130.5,8215.12,8513.24,10435.3,7109.42,9009.62,7548.46,7361.79,8132.74,
Q14254,FLOT2,Flotillin-2,20,9.23476,7.58742,13.2298,9.92065,8.96504,7.15816,8.89938,8.67282,7.64858,11.3894,7.29396,4881.6,4010.8,6993.4,5244.16,4739.02,3783.88,4704.31,4584.55,4043.13,6020.59,3855.67,
P62805,H4C1,Histone H4,20,5.26083,17.4081,12.5516,10.5938,16.3844,3.21594,7.78888,5.5294,7.73773,4.82388,8.7054,2862.31,9471.39,6829.08,5763.85,8914.44,1749.73,4237.77,3008.43,4209.94,2624.58,4736.43,
Q9UBT2,UBA2,SUMO-activating enzyme subunit 2,20,9.3425,9.92869,7.42862,8.84344,9.38109,8.19729,10.3699,9.51585,8.94219,8.42896,9.62143,4210.22,4474.39,3347.73,3985.32,4227.61,3694.13,4673.24,4288.34,4029.82,3798.53,4335.92,
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,20,7.50182,13.1089,6.50038,10.1647,10.3006,12.974,7.3658,7.64321,8.02678,8.30571,8.10813,2858.18,4994.46,2476.63,3872.73,3924.49,4943.06,2806.35,2912.05,3058.18,3164.46,3089.18,
Q14839-2,CHD4,Isoform 2 of Chromodomain-helicase-DNA-binding protein 4,20,10.0079,12.2322,6.19247,7.3374,9.00402,13.9902,7.21127,8.65281,8.71104,7.93631,8.72429,2951.18,3607.08,1826.06,2163.68,2655.14,4125.49,2126.49,2551.57,2568.74,2340.29,2572.65,
P05155-3,SERPING1,Isoform 3 of Plasma protease C1 inhibitor,20,8.54977,4.04136,21.6163,10.7185,6.40863,5.71645,5.41079,6.15219,14.1986,11.998,5.18946,4024.7,1902.42,10175.6,5045.62,3016.79,2690.95,2547.06,2896.07,6683.8,5647.92,2442.88,
Q96I99,SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",20,9.55586,9.11018,9.12408,8.80256,10.0532,6.18847,11.1114,10.0301,8.88206,8.65696,8.48512,2889.25,2754.49,2758.7,2661.48,3039.62,1871.11,3359.57,3032.65,2685.52,2617.46,2565.51,
Q15582,TGFBI,Transforming growth factor-beta-induced protein ig-h3,20,7.56456,2.52516,11.0519,7.89184,5.11932,14.7806,9.62091,15.4003,7.1214,10.6169,8.30706,5601.06,1869.72,8183.21,5843.39,3790.52,10944.1,7123.66,11402.9,5272.93,7861.11,6150.83,
P51884,LUM,Lumican,20,8.04056,6.41191,18.5982,7.71246,8.81417,13.4853,6.46167,11.2651,6.91503,5.88201,6.41352,10460.8,8341.92,24196.3,10033.9,11467.3,17544.5,8406.65,14655.9,8996.47,7652.51,8344.01,
Q9Y490,TLN1,Talin-1,19,9.71153,8.42641,6.32798,9.42006,8.3918,11.2809,10.3154,9.96338,8.30331,8.25461,9.60458,5379.12,4667.31,3505.01,5217.68,4648.14,6248.37,5713.63,5518.62,4599.12,4572.15,5319.89,
Q9BQS8-4,FYCO1,Isoform 4 of FYVE and coiled-coil domain-containing protein 1,19,10.6719,9.50894,4.98843,9.75149,9.20127,10.3111,10.5715,10.1162,7.79621,8.34716,8.73578,2830.91,2522.4,1323.26,2586.74,2440.79,2735.18,2804.26,2683.5,2068.07,2214.22,2317.31,
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",19,9.07971,11.5057,7.11385,9.1743,12.7811,7.80607,10.1091,8.06332,8.35216,7.40592,8.60878,2481.26,3144.23,1944.04,2507.1,3492.75,2133.2,2762.56,2203.5,2282.43,2023.85,2352.56,
O00534,VWA5A,von Willebrand factor A domain-containing protein 5A,19,10.3107,5.22,6.16176,6.19916,5.127,7.83876,12.224,12.0468,10.0957,13.0309,11.7453,3969.52,2009.65,2372.22,2386.62,1973.85,3017.85,4706.12,4637.91,3886.74,5016.76,4521.84,
Q96MM6,HSPA12B,Heat shock 70 kDa protein 12B,19,9.56275,8.30734,9.29256,14.9868,13.5445,3.43999,11.7562,6.00443,7.16199,5.79052,10.1529,2227.24,1934.85,2164.31,3490.55,3154.62,801.2,2738.12,1398.48,1668.09,1348.66,2364.69,
P18583-5,SON,Isoform D of Protein SON,19,7.4531,10.8915,7.44843,7.99266,9.46898,11.5834,8.52891,9.86416,9.09208,8.28202,9.39478,2805.75,4100.13,2803.99,3008.87,3564.64,4360.63,3210.75,3713.4,3422.75,3117.8,3536.7,
P37837,TALDO1,Transaldolase,19,7.86822,9.02851,10.0955,10.1423,10.2533,7.79169,8.64475,9.41255,8.5635,10.4334,7.76618,6171.31,7081.37,7918.26,7954.95,8042.01,6111.28,6780.37,7382.57,6716.64,8183.29,6091.28,
Q01813,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type",19,7.86232,5.68709,8.7438,10.0744,7.0729,8.18907,9.45221,13.3007,9.69629,11.2525,8.66877,2005.34,1450.53,2230.17,2569.55,1803.99,2088.68,2410.85,3392.43,2473.11,2870.02,2211.03,
P61247,RPS3A,40S ribosomal protein S3a,19,6.79435,11.4383,7.56287,8.46673,10.4825,11.0236,7.89604,8.84553,9.27399,8.80804,9.40804,5138,8649.84,5719.17,6402.69,7927.06,8336.21,5971.12,6689.14,7013.14,6660.79,7114.52,
P00491,PNP,Purine nucleoside phosphorylase,19,8.43322,3.59325,18.6484,8.25383,4.7767,4.467,6.09459,8.3914,8.63535,21.9676,6.73867,4943.08,2106.16,10930.7,4837.94,2799.84,2618.31,3572.31,4918.58,5061.56,12876.2,3949.84,
O60506-3,SYNCRIP,Isoform 3 of Heterogeneous nuclear ribonucleoprotein Q,19,8.15028,10.9277,10.3386,11.4272,14.3743,5.34542,8.11659,5.65038,9.26915,6.30776,10.0926,2831.39,3796.27,3591.61,3969.79,4993.59,1856.99,2819.69,1962.93,3220.08,2191.3,3506.17,
Q9H223,EHD4,EH domain-containing protein 4,19,7.7725,12.6237,7.84617,11.2873,22.0744,3.08498,10.7323,7.17871,6.1986,5.16902,6.03231,2266.82,3681.65,2288.31,3291.91,6437.92,899.725,3130.05,2093.65,1807.8,1507.53,1759.3,
P17301,ITGA2,Integrin alpha-2,19,8.08791,11.2584,5.81768,11.2784,9.97905,7.35681,7.52239,7.37427,5.86674,9.09406,16.3643,1936.2,2695.2,1392.72,2699.97,2388.93,1761.18,1800.82,1765.36,1404.46,2177.06,3917.51,
P49411,TUFM,"Elongation factor Tu, mitochondrial",19,9.62093,10.0618,7.95875,8.97229,9.81294,11.2603,7.88592,9.53401,8.43282,7.64378,8.81654,5550.06,5804.36,4591.19,5175.88,5660.83,6495.76,4549.18,5499.92,4864.67,4409.5,5086.03,
O15031,PLXNB2,Plexin-B2,19,9.37747,9.35367,7.77654,8.8194,9.91182,8.46982,9.7783,10.3629,7.91472,8.7031,9.53221,2931.15,2923.71,2430.74,2756.71,3098.17,2647.44,3056.44,3239.18,2473.93,2720.36,2979.51,
P11387,TOP1,DNA topoisomerase 1,19,7.63914,13.3701,7.23091,8.12752,11.9443,10.0161,6.75209,8.05554,9.68519,7.96791,9.21112,2667.68,4669.02,2525.12,2838.23,4171.1,3497.74,2357.91,2813.09,3382.19,2782.49,3216.63,
P60660,MYL6,Myosin light polypeptide 6,19,9.73028,12.0744,8.59342,10.3776,10.9715,8.46941,9.97535,7.56112,6.65495,6.80238,8.78953,4109.31,5099.3,3629.19,4382.68,4633.51,3576.81,4212.81,3193.23,2810.53,2872.79,3712.01,
P61158,ACTR3,Actin-related protein 3,19,8.81324,6.47497,8.04342,9.52324,8.89612,5.90019,10.8368,8.84801,10.8363,10.379,11.4488,2929.04,2151.92,2673.19,3165,2956.58,1960.9,3601.54,2940.59,3601.39,3449.4,3804.94,
Q12965,MYO1E,Unconventional myosin-Ie,19,9.43443,9.14427,7.25047,9.7388,7.98461,8.02888,8.43859,8.52146,10.9458,8.7885,11.7241,2608.76,2528.53,2004.87,2692.93,2207.87,2220.11,2333.4,2356.31,3026.69,2430.16,3241.91,
P55268,LAMB2,Laminin subunit beta-2,19,12.5292,3.89013,6.8116,7.55159,8.19525,13.3958,13.6934,11.8051,6.80115,7.96502,7.36181,3813.94,1184.18,2073.49,2298.75,2494.68,4077.77,4168.34,3593.53,2070.31,2424.6,2240.98,
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,19,8.42394,13.9239,6.89464,9.75085,11.5927,8.53127,8.96551,7.13591,8.01785,7.57424,9.18917,3422.83,5657.58,2801.44,3961.99,4710.39,3466.44,3642.88,2899.48,3257.83,3077.58,3733.76,
P54577,YARS1,"Tyrosine--tRNA ligase, cytoplasmic",19,8.70187,7.67204,7.85924,9.2063,9.06191,5.47158,10.315,13.6807,6.75651,10.9616,10.3133,6415.48,5656.23,5794.24,6787.37,6680.91,4033.93,7604.75,10086.1,4981.25,8081.43,7603.51,
Q96G03,PGM2,Phosphoglucomutase-2,19,10.9683,8.76881,9.12232,8.84976,9.48936,9.96671,9.09149,4.92151,9.48303,10.0113,9.32734,5158.39,4123.95,4290.21,4162.02,4462.82,4687.32,4275.7,2314.57,4459.84,4708.3,4386.63,
Q9NTK5,OLA1,Obg-like ATPase 1,19,12.159,7.51708,9.15456,7.4119,6.89599,10.6826,7.47746,10.3095,9.27172,10.4518,8.66842,5951.73,3679.55,4481.08,3628.06,3375.53,5229.02,3660.15,5046.4,4538.43,5116.08,4243.12,
P51858,HDGF,Hepatoma-derived growth factor,19,8.2408,13.5101,8.41891,9.13583,10.4751,11.19,7.85234,8.73314,7.55227,7.94916,6.94246,3084.78,5057.22,3151.45,3419.81,3921.13,4188.73,2939.36,3269.07,2827.04,2975.6,2598.77,
P25311,AZGP1,Zinc-alpha-2-glycoprotein,19,7.83138,2.71165,22.1295,7.8874,3.06155,11.364,5.20531,7.46343,12.7287,13.421,6.19604,3398.48,1176.74,9603.24,3422.79,1328.58,4931.51,2258.88,3238.81,5523.73,5824.12,2688.82,
Q9NY33,DPP3,Dipeptidyl peptidase 3,19,8.05508,8.0945,11.4698,8.57206,7.73918,9.35456,7.47,8.61281,9.64712,10.8437,10.1412,3260.76,3276.72,4643.07,3470.03,3132.88,3786.8,3023.91,3486.53,3905.23,4389.6,4105.23,
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,19,6.38339,9.94977,12.2122,7.83079,10.9577,5.28981,9.7556,13.8954,8.52259,6.81893,8.38374,2695.7,4201.79,5157.22,3306.94,4627.42,2233.89,4119.79,5868.04,3599.08,2879.63,3540.45,
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,19,8.1026,8.82722,7.32285,8.40306,8.69077,10.3292,7.41324,9.16572,11.3675,10.3279,10.0499,2917.17,3178.06,2636.44,3025.34,3128.93,3718.79,2668.98,3299.92,4092.64,3718.36,3618.26,
P12277,CKB,Creatine kinase B-type,19,14.1585,6.61953,9.90157,8.98026,6.36221,5.08282,15.4487,13.3544,5.55177,7.24294,7.29731,4061.83,1899.03,2840.59,2576.28,1825.21,1458.17,4431.97,3831.15,1592.71,2077.88,2093.47,
Q12768,WASHC5,WASH complex subunit 5,19,8.88068,9.93233,8.57196,9.8886,10.2061,7.97827,9.21104,8.85884,8.17837,7.97243,10.3213,3123,3492.82,3014.43,3477.44,3589.11,2805.65,3239.17,3115.31,2876.02,2803.6,3629.62,
P35998,PSMC2,26S proteasome regulatory subunit 7,19,7.05401,10.5591,9.93256,10.0106,9.69711,8.65359,8.3498,8.35733,8.92127,9.72631,8.73828,1944.32,2910.45,2737.75,2759.26,2672.85,2385.22,2301.49,2303.56,2459,2680.9,2408.56,
P14550,AKR1A1,Aldo-keto reductase family 1 member A1,19,8.52151,6.61842,10.011,7.66407,7.97291,8.78922,9.21301,9.77098,11.3918,9.66442,10.3827,5204.65,4042.3,6114.37,4680.95,4869.58,5368.15,5626.99,5967.78,6957.72,5902.7,6341.37,
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,19,9.65814,13.7517,5.34302,11.0832,9.79249,8.27332,8.87253,7.77923,8.14552,7.43904,9.86187,3521.87,5014.58,1948.35,4041.5,3570.86,3016.89,3235.39,2836.72,2970.28,2712.67,3596.16,
P40227,CCT6A,T-complex protein 1 subunit zeta,19,8.56215,8.34274,13.4756,10.8343,11.3056,5.20068,7.81542,7.37502,9.53915,7.86391,9.68545,2633.51,2566.03,4144.77,3332.35,3477.34,1599.6,2403.83,2268.38,2934.01,2418.75,2979.01,
O75390,CS,"Citrate synthase, mitochondrial",19,10.6588,8.5258,7.84742,8.21655,10.0023,6.87074,11.46,9.72102,8.54059,8.36892,9.7878,6618.1,5293.7,4872.5,5101.69,6210.49,4266.07,7115.57,6035.82,5302.89,5196.29,6077.29,
Q96F07,CYFIP2,Cytoplasmic FMR1-interacting protein 2,19,9.32683,12.6986,7.68102,11.1708,13.15,5.83899,9.44785,5.19783,9.17867,6.18189,10.1275,3369.3,4587.33,2774.75,4035.45,4750.43,2109.32,3413.02,1877.71,3315.78,2233.2,3658.53,
P49189,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,19,10.8439,6.58958,7.44525,7.19426,7.45223,7.08697,13.0034,9.59711,9.59261,10.0523,11.1424,3457.64,2101.13,2373.96,2293.93,2376.19,2259.72,4146.21,3060.1,3058.66,3205.23,3552.83,
Q99873,PRMT1,Protein arginine N-methyltransferase 1,19,8.20905,5.19203,10.1488,8.71017,8.69893,5.72607,10.5665,12.2343,10.0124,10.3079,10.1938,2410.39,1524.51,2979.94,2557.53,2554.23,1681.32,3102.58,3592.31,2939.91,3026.66,2993.17,
Q96HC4,PDLIM5,PDZ and LIM domain protein 5,19,10.8435,8.97782,6.74259,10.6816,10.2348,9.63058,10.1686,6.99607,8.64159,6.03889,11.044,2977.44,2465.15,1851.4,2932.99,2810.29,2644.39,2792.11,1921,2372.83,1658.17,3032.48,
P13010,XRCC5,X-ray repair cross-complementing protein 5,19,9.23887,6.37209,9.30985,6.92174,7.97552,5.10238,12.9592,13.4138,7.57761,10.9677,10.1613,3113.78,2147.59,3137.7,2332.84,2687.99,1719.66,4367.63,4520.87,2553.88,3696.43,3424.66,
P29590,PML,Protein PML,19,7.5126,9.56071,7.55137,7.51678,14.6699,9.69224,7.45002,7.29742,10.6499,7.0295,11.0696,1926.97,2452.3,1936.91,1928.04,3762.81,2486.04,1910.92,1871.77,2731.67,1803.05,2839.32,
P10909-2,CLU,Isoform 2 of Clusterin,19,9.36575,2.39424,15.7437,6.47969,3.4584,10.8255,8.36478,9.7866,11.357,15.7941,6.43028,3896.68,996.14,6550.28,2695.92,1438.89,4504,3480.22,4071.78,4725.14,6571.25,2675.36,
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,19,9.89122,5.71294,9.52613,6.49592,7.82908,7.14076,9.46037,10.5665,11.2668,10.5859,11.5244,5240.87,3027,5047.42,3441.86,4148.24,3783.53,5012.58,5598.65,5969.73,5608.94,6106.2,
P27708,CAD,CAD protein,19,7.71388,7.56981,7.84387,7.93811,7.83525,9.12048,8.46981,10.4635,11.1728,10.9327,10.9398,2523.91,2476.77,2566.44,2597.28,2563.62,2984.14,2771.24,3423.55,3655.64,3577.08,3579.4,
P15170-3,GSPT1,Isoform 3 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,19,8.4763,11.7224,6.71927,9.40657,10.2536,10.7673,7.63119,8.62285,8.83539,8.50104,9.06413,3353.9,4638.29,2658.68,3721.99,4057.14,4260.4,3019.51,3411.88,3495.98,3363.69,3586.49,
Q53SF7-3,COBLL1,Isoform 3 of Cordon-bleu protein-like 1,19,11.8947,12.0177,6.85911,10.4002,12.0373,6.39195,11.772,6.79206,7.34979,5.46284,9.02232,3078.83,3110.67,1775.41,2691.98,3115.74,1654.49,3047.07,1758.06,1902.42,1414,2335.34,
P61160,ACTR2,Actin-related protein 2,19,9.46533,7.95454,7.51269,10.2014,8.64937,9.51801,8.8071,8.34167,10.1035,9.60035,9.846,2571.26,2160.85,2040.83,2771.22,2349.6,2585.57,2392.45,2266.02,2744.63,2607.94,2674.67,
P07195,LDHB,L-lactate dehydrogenase B chain,19,9.28109,3.7782,11.6319,5.78883,4.88112,5.41778,13.0773,12.9145,9.90958,12.8587,10.461,6853.38,2789.91,8589.25,4274.61,3604.33,4000.62,9656.62,9536.39,7317.48,9495.18,7724.64,
P16885,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",19,9.58967,8.82464,6.06019,7.43427,8.41426,11.9047,7.7213,7.58808,12.5238,11.6155,8.32366,3297.73,3034.65,2084,2556.53,2893.53,4093.83,2655.23,2609.42,4306.72,3994.38,2862.37,
Q12888-2,TP53BP1,Isoform 2 of TP53-binding protein 1,19,8.97755,9.46597,6.9458,6.43234,8.07579,14.5507,7.68225,10.9303,9.50406,8.67984,8.75543,1872.53,1974.41,1448.75,1341.65,1684.44,3034.97,1602.36,2279.83,1982.35,1810.44,1826.2,
P02763,ORM1,Alpha-1-acid glycoprotein 1,19,5.16353,2.98809,19.6846,14.7321,6.84456,9.2871,3.32422,4.59302,17.1677,10.1674,6.04762,1600.56,926.231,6101.7,4566.57,2121.64,2878.76,1030.42,1423.72,5321.55,3151.63,1874.6,
P07099,EPHX1,Epoxide hydrolase 1,19,11.5665,12.275,7.06275,9.29261,9.06044,7.97572,11.6556,8.30657,7.46107,6.81625,8.52748,5520.07,5858.19,3370.67,4434.86,4324.06,3806.38,5562.59,3964.28,3560.77,3253.03,4069.71,
P40925-3,MDH1,"Isoform 3 of Malate dehydrogenase, cytoplasmic",19,7.33638,6.90323,11.3595,8.58199,7.91859,6.46018,12.6727,9.92002,8.88281,10.3821,9.58248,4245.07,3994.44,6572.97,4965.83,4581.96,3738.08,7332.87,5740.06,5139.89,6007.46,5544.74,
O75746,SLC25A12,Calcium-binding mitochondrial carrier protein Aralar1,19,11.2106,7.17661,9.09543,7.8992,8.07763,9.39692,11.0039,11.7358,7.73441,8.22876,8.44065,5817.8,3724.33,4720.11,4099.32,4191.91,4876.56,5710.51,6090.36,4013.8,4270.34,4380.3,
P61224,RAP1B,Ras-related protein Rap-1b,19,6.68433,12.1853,7.86423,13.5254,12.8356,6.90951,9.66205,6.77461,7.3772,7.37262,8.80915,3982.79,7260.52,4685.83,8058.98,7647.94,4116.96,5757.04,4036.59,4395.64,4392.9,5248.85,
Q9Y262,EIF3L,Eukaryotic translation initiation factor 3 subunit L,19,8.38357,6.83213,8.61457,8.11775,8.44777,6.04364,11.1105,11.8367,9.83673,10.1523,10.6242,3157.12,2572.87,3244.11,3057.01,3181.3,2275.94,4184.06,4457.52,3704.35,3823.21,4000.91,
Q14195-2,DPYSL3,Isoform LCRMP-4 of Dihydropyrimidinase-related protein 3,18,8.42879,7.82242,8.29879,8.77085,10.15,15.3287,8.85378,7.72116,9.25464,7.39351,7.97734,3089.77,2867.49,3042.11,3215.16,3720.72,5619.09,3245.56,2830.37,3392.5,2710.26,2924.28,
Q08380,LGALS3BP,Galectin-3-binding protein,18,5.01734,6.45217,6.67603,5.54257,5.18158,32.774,4.13277,11.9397,8.37764,5.51169,8.39449,1542.15,1983.17,2051.97,1703.59,1592.63,10073.6,1270.27,3669.83,2574.99,1694.1,2580.17,
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,18,7.06111,10.3602,7.27619,9.89614,10.1934,7.71145,9.30461,9.30374,9.52625,10.0213,9.34565,3623.51,5316.47,3733.88,5078.35,5230.88,3957.24,4774.8,4774.35,4888.54,5142.58,4795.86,
Q15075,EEA1,Early endosome antigen 1,18,10.0336,11.6973,6.36419,9.76247,8.39639,13.1905,8.84299,6.88162,7.67173,7.39409,9.76513,4700.09,5479.43,2981.22,4573.1,3933.17,6178.93,4142.38,3223.6,3593.72,3463.66,4574.34,
P12821,ACE,Angiotensin-converting enzyme,18,5.5425,10.1951,3.97678,24.7916,23.3054,3.54498,5.43867,5.16034,6.17591,5.32834,6.54033,1508.65,2775.06,1082.47,6748.2,6343.66,964.93,1480.39,1404.63,1681.06,1450.36,1780.26,
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",18,10.6479,9.30723,9.28372,10.5933,10.3759,4.54796,11.6523,8.22983,8.22379,7.21768,9.92039,3244.46,2835.96,2828.8,3227.82,3161.59,1385.79,3550.53,2507.67,2505.83,2199.26,3022.79,
P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,18,9.08971,8.51343,7.57451,7.56152,7.95529,11.4316,8.78551,11.5816,8.95838,9.65964,8.8888,4190.46,3924.79,3491.94,3485.95,3667.48,5270.09,4050.22,5339.27,4129.92,4453.21,4097.84,
Q9UIA9,XPO7,Exportin-7,18,9.14959,8.2346,10.0133,7.34977,7.60156,9.16009,9.15056,10.4904,9.01468,11.9838,7.85171,3351.47,3016.31,3667.83,2692.2,2784.43,3355.31,3351.82,3842.61,3302.05,4389.62,2876.06,
Q10567,AP1B1,AP-1 complex subunit beta-1,18,10.3167,5.33008,9.81812,6.73939,6.6135,6.73274,10.3121,11.3897,10.7862,10.8282,11.1333,2731.3,1411.12,2599.31,1784.23,1750.9,1782.47,2730.09,3015.38,2855.61,2866.71,2947.5,
Q15181,PPA1,Inorganic pyrophosphatase,18,9.43338,8.97221,8.01054,9.19762,9.81217,9.75354,8.51695,8.84848,9.8991,7.94644,9.60956,5147.68,4896.03,4371.26,5019.03,5354.38,5322.39,4647.6,4828.51,5401.82,4336.28,5243.82,
Q92538,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,18,8.86506,7.90899,6.84682,6.9178,7.34733,9.11022,10.7688,10.406,10.0742,10.0175,11.7372,2282.94,2036.74,1763.21,1781.48,1892.1,2346.08,2773.2,2679.77,2594.33,2579.73,3022.59,
Q68CZ2,TNS3,Tensin-3,18,9.77639,9.83403,6.10198,11.5054,10.23,6.047,13.0863,6.53884,8.20204,7.54706,11.131,2597.87,2613.19,1621.47,3057.31,2718.42,1606.86,3477.42,1737.56,2179.52,2005.47,2957.82,
Q14683,SMC1A,Structural maintenance of chromosomes protein 1A,18,8.29753,10.8644,8.22605,9.62518,10.3731,9.23184,8.74967,9.62354,8.26582,8.43808,8.30475,3243.18,4246.46,3215.24,3762.1,4054.44,3608.36,3419.9,3761.46,3230.78,3298.11,3246,
P13804,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial",18,10.2285,8.66565,7.81365,7.02315,9.01516,6.27918,11.9409,10.4159,9.24078,8.75637,10.6207,4500.85,3813.13,3438.22,3090.38,3966.92,2763.01,5254.35,4583.27,4066.2,3853.05,4673.42,
P09104,ENO2,Gamma-enolase,18,7.95528,9.44469,9.25326,9.80994,11.6895,5.90001,7.63898,11.2471,7.21897,7.54672,12.2955,2870.2,3407.56,3338.49,3539.34,4217.47,2128.67,2756.07,4057.87,2604.54,2722.79,4436.11,
O75955,FLOT1,Flotillin-1,18,8.46784,10.437,11.5938,9.89095,10.2865,8.72093,7.62352,8.54365,7.38616,10.3328,6.71688,2721.88,3354.84,3726.68,3179.32,3306.48,2803.23,2450.48,2746.25,2374.19,3321.34,2159.06,
P08237-3,PFKM,"Isoform 3 of ATP-dependent 6-phosphofructokinase, muscle type",18,10.0243,8.49766,9.71895,8.93171,10.1682,7.67205,10.6571,9.40689,7.20793,9.0895,8.62564,3564.99,3022.06,3456.4,3176.43,3616.18,2728.45,3790.05,3345.42,2563.39,3232.54,3067.58,
Q9NZN3,EHD3,EH domain-containing protein 3,18,7.33919,12.351,8.20829,16.1438,14.0853,4.87138,8.60023,6.67147,7.0921,6.13301,8.50419,1827.33,3075.17,2043.72,4019.52,3507,1212.89,2141.3,1661.08,1765.81,1527.01,2117.39,
